algorithm,dimension,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_count,noise_ratio,trustworthiness,knn_preservation,eps,min_samples,min_cluster_size,linkage
agglomerative,32,15.0,0.50043917,0.3876475331604466,349.3484,15,0.0,0.9384062777209143,0.6115999999999999,,,,average
kmeans,16,5.0,0.40494213,1.0062362460535919,241.84195,5,0.0,0.9436669396110542,0.6117333333333334,,,,
kmeans,16,10.0,0.41096997,0.6161265220789234,346.86847,10,0.0,0.9436669396110542,0.6117333333333334,,,,
kmeans,16,15.0,0.45677945,0.6483923294913545,465.7769,15,0.0,0.9436669396110542,0.6117333333333334,,,,
dbscan,16,,0.63573295,1.1073982737228465,345.49197,76,0.069,0.9436669396110542,0.6117333333333334,0.3,5.0,,
dbscan,16,,0.21700619,1.059155514460623,62.049076,40,0.39,0.9436669396110542,0.6117333333333334,0.3,10.0,,
dbscan,16,,0.6079003,0.8354388100945657,1317.12,60,0.02,0.9436669396110542,0.6117333333333334,0.5,5.0,,
dbscan,16,,0.42930514,1.34588901568852,100.95921,38,0.221,0.9436669396110542,0.6117333333333334,0.5,10.0,,
dbscan,16,,0.6057184,0.6812017954406924,1733.9031,45,0.006,0.9436669396110542,0.6117333333333334,0.7,5.0,,
dbscan,16,,0.48913547,1.3119986810352813,176.09311,29,0.135,0.9436669396110542,0.6117333333333334,0.7,10.0,,
hdbscan,16,,0.46264446,1.3037180868898823,138.87518,35,0.184,0.9436669396110542,0.6117333333333334,,,10.0,
hdbscan,16,,0.2719951,1.8544131013761145,75.21805,14,0.264,0.9436669396110542,0.6117333333333334,,,20.0,
hdbscan,16,,0.2945992,2.847288868052017,146.07826,2,0.255,0.9436669396110542,0.6117333333333334,,,50.0,
agglomerative,16,5.0,0.44916046,0.8171266068854397,296.6358,5,0.0,0.9436669396110542,0.6117333333333334,,,,ward
agglomerative,16,5.0,0.5072712,0.5728593398279875,99.80588,5,0.0,0.9436669396110542,0.6117333333333334,,,,average
agglomerative,16,10.0,0.4317462,0.7247896529225321,383.11975,10,0.0,0.9436669396110542,0.6117333333333334,,,,ward
agglomerative,16,10.0,0.4521383,0.3849882121567884,110.63327,10,0.0,0.9436669396110542,0.6117333333333334,,,,average
agglomerative,16,15.0,0.47451165,0.7382159405625601,523.02374,15,0.0,0.9436669396110542,0.6117333333333334,,,,ward
agglomerative,16,15.0,0.45090932,0.39717279363929353,267.82767,15,0.0,0.9436669396110542,0.6117333333333334,,,,average
kmeans,8,5.0,0.31514776,1.1093871693408386,270.08267,5,0.0,0.9388194472876151,0.6072000000000001,,,,
kmeans,8,10.0,0.423624,0.7330221134801546,320.4711,10,0.0,0.9388194472876151,0.6072000000000001,,,,
kmeans,8,15.0,0.46695942,0.6348758013485439,444.71194,15,0.0,0.9388194472876151,0.6072000000000001,,,,
dbscan,8,,0.65524375,1.0079899218702546,425.46185,80,0.073,0.9388194472876151,0.6072000000000001,0.3,5.0,,
dbscan,8,,0.1694869,1.0421188017972085,52.998356,36,0.432,0.9388194472876151,0.6072000000000001,0.3,10.0,,
dbscan,8,,0.6293914,0.7014079749437926,1630.9204,61,0.026,0.9388194472876151,0.6072000000000001,0.5,5.0,,
dbscan,8,,0.3804335,1.4001829981334684,71.78942,37,0.257,0.9388194472876151,0.6072000000000001,0.5,10.0,,
dbscan,8,,0.60703325,0.629085614264295,1414.1906,41,0.013,0.9388194472876151,0.6072000000000001,0.7,5.0,,
dbscan,8,,0.5106594,1.7213326629118537,119.86795,30,0.124,0.9388194472876151,0.6072000000000001,0.7,10.0,,
